"Tree","Transition","Observed","CI_Lower","CI_Upper","Significance"
"Tree_25","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_25","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_25","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_25","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_25","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_25","clinics_to_wastewater",311,327,364,"Below 95% CI"
"Tree_25","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_25","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_25","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_25","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_25","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_25","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_25","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_26","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_26","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_26","wastewater_to_clinics",304,328,362,"Below 95% CI"
"Tree_26","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_26","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_26","livestock_to_livestock",0,0,0,"Within 95% CI"
